lead_id,custom_field_1057048,status
9924822,Meta,Venda perdida
9939660,Meta,Venda perdida
9941226,Meta,Venda perdida
9945194,Meta,Venda perdida
9945600,Meta,Venda perdida
9947248,Meta,Possui Limite
9953006,Meta,Possui Limite
9954734,Meta,Venda perdida
9936544,Meta,Venda perdida
9960204,Meta,Venda perdida
9965018,Meta,Venda perdida
9970560,Meta,Venda perdida
9971206,Meta,Possui Limite
9973978,Meta,Possui Limite
8612694,,Venda perdida
9975958,Meta,Venda perdida
9976844,Meta,Venda perdida
9938928,Meta,Simulação
9977050,Meta,Possui Limite
9977958,Meta,Possui Limite
9962364,Meta,Venda perdida
9978098,Meta,Possui Limite
10011840,Meta,Venda perdida
8562196,Meta,Venda perdida
8632858,Meta,Venda perdida
8394662,Meta,Venda perdida
10016160,Meta,Simulação
8424364,Meta,Venda perdida
8424336,Meta,Venda perdida
8413576,Meta,Venda perdida
8422100,Meta,Venda perdida
10052166,Meta,Venda perdida
8373814,Meta,Venda perdida
8424976,Meta,Venda perdida
8425500,Meta,Venda perdida
8438944,Meta,Venda perdida
8618162,,Venda perdida
10051674,Meta,Venda perdida
9944314,Meta,Venda perdida
10053978,Meta,Venda perdida
8715690,Meta,Venda perdida
10034450,Meta,Simulação
10076682,Meta,Simulação
10082104,Meta,Venda perdida
8491668,Meta,Venda perdida
8373798,Meta,Venda perdida
10097432,Meta,Venda perdida
8499076,Meta,Venda perdida
10118404,Meta,Venda perdida
10130792,Meta,Venda perdida
10137252,Meta,Venda perdida
10137372,Meta,Venda perdida
10141298,Meta,Venda perdida
10141812,Meta,Venda perdida
8428290,Meta,Venda perdida
10157034,Meta,Venda perdida
10147822,Meta,Venda perdida
8468646,Meta,Venda perdida
10161966,Meta,Venda perdida
10167688,Meta,Venda perdida
10173182,Meta,Venda perdida
10188748,Meta,Venda perdida
8647818,Meta,Venda perdida
10191116,Meta,Venda perdida
10192682,Meta,Possui Limite
10196428,Meta,Venda perdida
10198046,Meta,Venda perdida
10199126,Meta,Venda perdida
10200130,Meta,Possui Limite
10213178,Meta,Venda perdida
10215714,Meta,Venda perdida
10051206,Meta,Possui Limite
10221908,Meta,Possui Limite
10034750,Meta,Venda perdida
10228332,Meta,Possui Limite
10233912,Meta,Venda perdida
10218858,Meta,Possui Limite
10113630,Meta,Simulação
10131842,Meta,Simulação
10188950,Meta,Venda perdida
9970160,Meta,Venda perdida
10255648,Meta,Venda perdida
10257182,Meta,Venda perdida
8560962,Meta,Venda perdida
10164828,Meta,Possui Limite
10279652,Meta,Venda perdida
8496944,Meta,LINK CADASTRO
9925918,Meta,PóS - SimulAÇÃO
8456070,Meta,Venda perdida
10255674,Meta,Venda perdida
8609138,Meta,Venda perdida
10249048,Meta,PóS - SimulAÇÃO
9717972,Meta,Venda perdida
8704540,Meta,Venda perdida
9067370,Meta,Venda perdida
9039836,Meta,Venda ganha
8702984,Meta,Venda ganha
9802718,Meta,Venda perdida
10267506,Meta,Simulação
10197280,Meta,PóS - SimulAÇÃO
10295644,Meta,Venda perdida
10332190,Meta,Venda perdida
8620556,,Venda perdida
10326420,Meta,Possui Limite
10340690,Meta,Venda perdida
10319010,Meta,PóS - SimulAÇÃO
10351946,Meta,Venda perdida
10338460,Meta,Venda perdida
8451006,Meta,Venda perdida
8521292,Meta,Venda perdida
8762574,Meta,Venda perdida
8767900,Meta,Venda perdida
9843174,Meta,Venda perdida
10019328,Meta,Venda perdida
9902970,Meta,Venda perdida
9917414,Meta,Venda perdida
10234232,Meta,PóS - SimulAÇÃO
9922066,Meta,LINK PAGAMENTO
10362200,Meta,Venda perdida
10389426,Meta,Venda perdida
10391748,Meta,Venda perdida
10245706,Meta,Possui Limite
9821860,Meta,Venda perdida
10435848,Meta,Venda perdida
8432062,Meta,Venda perdida
8504114,Meta,Venda perdida
8634746,,Venda perdida
8638140,,Venda perdida
8638858,,Venda perdida
8638910,,Venda perdida
8371512,Meta,Venda perdida
8377424,Meta,Venda perdida
8390826,Meta,Venda perdida
8394858,Meta,Venda perdida
8403578,Meta,Venda perdida
8433712,Meta,Venda perdida
8439670,Meta,Venda perdida
8447290,Meta,Venda perdida
8449082,Meta,Venda perdida
8468032,Meta,Venda perdida
8511812,Meta,Venda perdida
8694348,Meta,Venda perdida
10192898,Meta,Venda perdida
10473534,Meta,Venda perdida
10475800,Meta,Venda perdida
10478450,Meta,Venda perdida
10480242,Meta,Venda perdida
10505842,Meta,Venda perdida
10197352,Meta,Venda perdida
8719154,Meta,LINK CADASTRO
8539576,Meta,LINK CADASTRO
8687832,,Venda perdida
8378610,Meta,Venda perdida
8378858,Meta,Possui Limite
8411270,Meta,Venda perdida
8467858,Meta,Possui Limite
8474126,Meta,Possui Limite
8614918,Meta,Possui Limite
8562108,Meta,Possui Limite
8622074,Meta,Possui Limite
8706950,Meta,Venda perdida
8928778,Meta,Simulação
9686798,Meta,Venda perdida
9534878,Meta,Possui Limite
8694070,,Venda perdida
10511214,Meta,Venda perdida
8536930,Meta,Venda perdida
8702702,,Venda perdida
8724806,,Venda perdida
9049192,,Venda perdida
9053204,,Venda perdida
9058372,,Venda perdida
9799170,,Venda perdida
9805032,,Venda perdida
9824274,,Venda perdida
9828046,,Venda perdida
9843344,,Venda perdida
9890748,,Venda perdida
9891484,,Venda perdida
9893446,,Venda perdida
9935820,,Venda perdida
9952956,,Venda perdida
9964746,,Venda perdida
10014094,,Venda perdida
10015882,,Venda perdida
10049208,,Venda perdida
10098006,,Venda perdida
10108240,,Venda perdida
10132204,,Venda perdida
10152202,,Venda perdida
10161266,,Venda perdida
10167384,,Venda perdida
10168328,,Venda perdida
10168854,,Venda perdida
10192948,,Venda perdida
10204664,,Venda perdida
10531046,,PóS - SimulAÇÃO
8688276,Meta,Possui Limite
